"id","kind","url","file","ok","skipped"
"57","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=57","records_xml\057.xml","true","false"
"57","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=57","records_html\057.html","true","false"
"58","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=58","records_xml\058.xml","true","false"
"58","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=58","records_html\058.html","true","false"
"59","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=59","records_xml\059.xml","true","false"
"59","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=59","records_html\059.html","true","false"
"60","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=60","records_xml\060.xml","true","false"
"60","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=60","records_html\060.html","true","false"
"61","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=61","records_xml\061.xml","true","false"
"61","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=61","records_html\061.html","true","false"
"62","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=62","records_xml\062.xml","true","false"
"62","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=62","records_html\062.html","true","false"
"63","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=63","records_xml\063.xml","true","false"
"63","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=63","records_html\063.html","true","false"
"64","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=64","records_xml\064.xml","true","false"
"64","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=64","records_html\064.html","true","false"
"65","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=65","records_xml\065.xml","true","false"
"65","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=65","records_html\065.html","true","false"
"66","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=66","records_xml\066.xml","true","false"
"66","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=66","records_html\066.html","true","false"
"67","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=67","records_xml\067.xml","true","false"
"67","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=67","records_html\067.html","true","false"
"68","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=68","records_xml\068.xml","true","false"
"68","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=68","records_html\068.html","true","false"
"69","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=69","records_xml\069.xml","true","false"
"69","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=69","records_html\069.html","true","false"
"70","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=70","records_xml\070.xml","true","false"
"70","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=70","records_html\070.html","true","false"
"71","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=71","records_xml\071.xml","true","false"
"71","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=71","records_html\071.html","true","false"
"72","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=72","records_xml\072.xml","true","false"
"72","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=72","records_html\072.html","true","false"
"73","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=73","records_xml\073.xml","true","false"
"73","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=73","records_html\073.html","true","false"
"74","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=74","records_xml\074.xml","true","false"
"74","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=74","records_html\074.html","true","false"
"75","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=75","records_xml\075.xml","true","false"
"75","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=75","records_html\075.html","true","false"
"76","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=76","records_xml\076.xml","true","false"
"76","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=76","records_html\076.html","true","false"
"77","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=77","records_xml\077.xml","true","false"
"77","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=77","records_html\077.html","true","false"
"78","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=78","records_xml\078.xml","true","false"
"78","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=78","records_html\078.html","true","false"
"79","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=79","records_xml\079.xml","true","false"
"79","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=79","records_html\079.html","true","false"
"80","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=80","records_xml\080.xml","true","false"
"80","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=80","records_html\080.html","true","false"
"81","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=81","records_xml\081.xml","true","false"
"81","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=81","records_html\081.html","true","false"
"82","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=82","records_xml\082.xml","true","false"
"82","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=82","records_html\082.html","true","false"
"83","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=83","records_xml\083.xml","true","false"
"83","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=83","records_html\083.html","true","false"
"84","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=84","records_xml\084.xml","true","false"
"84","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=84","records_html\084.html","true","false"
"85","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=85","records_xml\085.xml","true","false"
"85","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=85","records_html\085.html","true","false"
"86","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=86","records_xml\086.xml","true","false"
"86","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=86","records_html\086.html","true","false"
"87","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=87","records_xml\087.xml","true","false"
"87","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=87","records_html\087.html","true","false"
"88","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=88","records_xml\088.xml","true","false"
"88","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=88","records_html\088.html","true","false"
"89","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=89","records_xml\089.xml","true","false"
"89","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=89","records_html\089.html","true","false"
"90","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=90","records_xml\090.xml","true","false"
"90","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=90","records_html\090.html","true","false"
"91","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=91","records_xml\091.xml","true","false"
"91","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=91","records_html\091.html","true","false"
"92","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=92","records_xml\092.xml","true","false"
"92","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=92","records_html\092.html","true","false"
"93","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=93","records_xml\093.xml","true","false"
"93","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=93","records_html\093.html","true","false"
"94","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=94","records_xml\094.xml","true","false"
"94","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=94","records_html\094.html","true","false"
"95","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=95","records_xml\095.xml","true","false"
"95","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=95","records_html\095.html","true","false"
"96","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=96","records_xml\096.xml","true","false"
"96","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=96","records_html\096.html","true","false"
"97","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=97","records_xml\097.xml","true","false"
"97","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=97","records_html\097.html","true","false"
"98","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=98","records_xml\098.xml","true","false"
"98","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=98","records_html\098.html","true","false"
"99","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=99","records_xml\099.xml","true","false"
"99","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=99","records_html\099.html","true","false"
"100","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=100","records_xml\100.xml","true","false"
"100","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=100","records_html\100.html","true","false"
"101","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=101","records_xml\101.xml","true","false"
"101","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=101","records_html\101.html","true","false"
"102","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=102","records_xml\102.xml","true","false"
"102","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=102","records_html\102.html","true","false"
"103","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=103","records_xml\103.xml","true","false"
"103","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=103","records_html\103.html","true","false"
"104","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=104","records_xml\104.xml","true","false"
"104","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=104","records_html\104.html","true","false"
"105","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=105","records_xml\105.xml","true","false"
"105","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=105","records_html\105.html","true","false"
"106","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=106","records_xml\106.xml","true","false"
"106","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=106","records_html\106.html","true","false"
