"id","type","description","url"
"207","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/thom94c2.txt"
"208","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/thom94c3.txt"
"209","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/thom94d1.txt"
"210","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/thom94d2.txt"
"211","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/thom94d3.txt"
"212","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/sezen1.txt"
"213","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/sezen2.txt"
"214","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/sezen4.txt"
"215","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/1006015.txt"
"216","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/1006025.txt"
"217","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/1006040.txt"
"218","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/10013015.txt"
"219","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/10013025.txt"
"220","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/10013040.txt"
"221","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/806040.txt"
"222","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/1206040.txt"
"223","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/1005540.txt"
"224","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/1008040.txt"
"225","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/1005552.txt"
"226","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/1006052.txt"
"227","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-2-3N.txt"
"228","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-2-3S.txt"
"229","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-3-1.5N.txt"
"230","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-3-1.5S.txt"
"231","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-3-3N.txt"
"232","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-3-3S.txt"
"233","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-3-2N.txt"
"234","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-3-2S.txt"
"237","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_20-3-3N.txt"
"238","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_20-3-3S.txt"
"239","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-2-2N.txt"
"240","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-2-2S.txt"
"241","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-1-2N.txt"
"242","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Pujol_10-1-2S.txt"
"243","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Bechtoula_Kono_D1N30.txt"
"244","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Bechtoula_Kono_D1N60.txt"
"245","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Bechtoula_Kono_L1D60.txt"
"246","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Bechtoula_Kono_L1N60.txt"
"247","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Bechtoula_Kono_L1N6B.txt"
"248","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Takemura_Kawashima1.txt"
"248","website","Kawashima Earthquake Engineering Laboratory","http://seismic.cv.titech.ac.jp/index.html"
"249","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Takemura_Kawashima2.txt"
"249","website","Kawashima Earthquake Engineering Laboratory","http://seismic.cv.titech.ac.jp/index.html"
"250","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Takemura_Kawashima3.txt"
