"id","type","description","url","file","ok","skipped"
"76","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws048e.txt","force_displacement_data\076_ws048e.txt","true","false"
"77","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws048w.txt","force_displacement_data\077_ws048w.txt","true","false"
"78","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws033e.txt","force_displacement_data\078_ws033e.txt","true","false"
"79","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws033w.txt","force_displacement_data\079_ws033w.txt","true","false"
"80","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws25033e.txt","force_displacement_data\080_ws25033e.txt","true","false"
"81","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws25033w.txt","force_displacement_data\081_ws25033w.txt","true","false"
"82","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws067e.txt","force_displacement_data\082_ws067e.txt","true","false"
"83","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws067w.txt","force_displacement_data\083_ws067w.txt","true","false"
"84","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws147e.txt","force_displacement_data\084_ws147e.txt","true","false"
"85","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws147w.txt","force_displacement_data\085_ws147w.txt","true","false"
"86","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws092e.txt","force_displacement_data\086_ws092e.txt","true","false"
"87","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws092w.txt","force_displacement_data\087_ws092w.txt","true","false"
"88","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/at75n1s1.txt","force_displacement_data\088_at75n1s1.txt","true","false"
"89","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/at75n2s1.txt","force_displacement_data\089_at75n2s1.txt","true","false"
"90","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/at75n3s1.txt","force_displacement_data\090_at75n3s1.txt","true","false"
"91","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/at75n4s1.txt","force_displacement_data\091_at75n4s1.txt","true","false"
"92","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/at75n5s1.txt","force_displacement_data\092_at75n5s1.txt","true","false"
"93","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/at75n6s1.txt","force_displacement_data\093_at75n6s1.txt","true","false"
"94","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/at75n9.txt","force_displacement_data\094_at75n9.txt","true","false"
"95","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/at75n10.txt","force_displacement_data\095_at75n10.txt","true","false"
"96","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/at75n11.txt","force_displacement_data\096_at75n11.txt","true","false"
"97","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/at75n12.txt","force_displacement_data\097_at75n12.txt","true","false"
"98","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/umecus.txt","force_displacement_data\098_umecus.txt","true","false"
"99","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/umecuw.txt","force_displacement_data\099_umecuw.txt","true","false"
"100","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ume2cus.txt","force_displacement_data\100_ume2cus.txt","true","false"
"101","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/bettno11.txt","force_displacement_data\101_bettno11.txt","true","false"
"102","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/azi88nc2.txt","force_displacement_data\102_azi88nc2.txt","true","false"
"103","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/azi88nc4.txt","force_displacement_data\103_azi88nc4.txt","true","false"
"104","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatu1.txt","force_displacement_data\104_saatu1.txt","true","false"
"105","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatu3.txt","force_displacement_data\105_saatu3.txt","true","false"
"106","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatu4.txt","force_displacement_data\106_saatu4.txt","true","false"
"107","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatu6.txt","force_displacement_data\107_saatu6.txt","true","false"
"108","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatu7.txt","force_displacement_data\108_saatu7.txt","true","false"
"109","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96aa1.txt","force_displacement_data\109_gal96aa1.txt","true","false"
"110","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96aa2.txt","force_displacement_data\110_gal96aa2.txt","true","false"
"111","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96aa3.txt","force_displacement_data\111_gal96aa3.txt","true","false"
"112","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96aa4.txt","force_displacement_data\112_gal96aa4.txt","true","false"
"113","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ba1.txt","force_displacement_data\113_gal96ba1.txt","true","false"
"114","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ba2.txt","force_displacement_data\114_gal96ba2.txt","true","false"
"115","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ba3.txt","force_displacement_data\115_gal96ba3.txt","true","false"
"116","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ba4.txt","force_displacement_data\116_gal96ba4.txt","true","false"
"117","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ca1.txt","force_displacement_data\117_gal96ca1.txt","true","false"
"118","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ca2.txt","force_displacement_data\118_gal96ca2.txt","true","false"
"119","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ca3.txt","force_displacement_data\119_gal96ca3.txt","true","false"
"120","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ca4.txt","force_displacement_data\120_gal96ca4.txt","true","false"
"121","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ab1.txt","force_displacement_data\121_gal96ab1.txt","true","false"
"122","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ab2.txt","force_displacement_data\122_gal96ab2.txt","true","false"
"123","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ab3.txt","force_displacement_data\123_gal96ab3.txt","true","false"
"124","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ab4.txt","force_displacement_data\124_gal96ab4.txt","true","false"
"125","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96bb1.txt","force_displacement_data\125_gal96bb1.txt","true","false"
"126","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96bb2.txt","force_displacement_data\126_gal96bb2.txt","true","false"
"127","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96bb4.txt","force_displacement_data\127_gal96bb4.txt","true","false"
"128","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96bb4b.txt","force_displacement_data\128_gal96bb4b.txt","true","false"
"129","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96cb1.txt","force_displacement_data\129_gal96cb1.txt","true","false"
"130","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96cb2.txt","force_displacement_data\130_gal96cb2.txt","true","false"
"131","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96cb3.txt","force_displacement_data\131_gal96cb3.txt","true","false"
"132","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96cb4.txt","force_displacement_data\132_gal96cb4.txt","true","false"
"133","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wehb98a1.txt","force_displacement_data\133_wehb98a1.txt","true","false"
"134","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wehb98a2.txt","force_displacement_data\134_wehb98a2.txt","true","false"
"135","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wehb98b1.txt","force_displacement_data\135_wehb98b1.txt","true","false"
"136","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wehb98b2.txt","force_displacement_data\136_wehb98b2.txt","true","false"
"137","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly3clh18.txt","force_displacement_data\137_ly3clh18.txt","true","false"
"138","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly2clh18.txt","force_displacement_data\138_ly2clh18.txt","true","false"
"139","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly2cmh18.txt","force_displacement_data\139_ly2cmh18.txt","true","false"
"140","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly3cmh18.txt","force_displacement_data\140_ly3cmh18.txt","true","false"
"141","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly3cmd12.txt","force_displacement_data\141_ly3cmd12.txt","true","false"
"142","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly3slh18.txt","force_displacement_data\142_ly3slh18.txt","true","false"
"143","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly2slh18.txt","force_displacement_data\143_ly2slh18.txt","true","false"
"144","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly3smd12.txt","force_displacement_data\144_ly3smd12.txt","true","false"
"145","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/x8191010.txt","force_displacement_data\145_x8191010.txt","true","false"
"146","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/x8191020.txt","force_displacement_data\146_x8191020.txt","true","false"
"147","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/x8161010.txt","force_displacement_data\147_x8161010.txt","true","false"
"148","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/x8161020.txt","force_displacement_data\148_x8161020.txt","true","false"
"149","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/x816610.txt","force_displacement_data\149_x816610.txt","true","false"
"150","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/x816620.txt","force_displacement_data\150_x816620.txt","true","false"
"151","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/suguc10h.txt","force_displacement_data\151_suguc10h.txt","true","false"
"152","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/suguc15h.txt","force_displacement_data\152_suguc15h.txt","true","false"
"153","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/suguc20h.txt","force_displacement_data\153_suguc20h.txt","true","false"
"154","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/suguc15l.txt","force_displacement_data\154_suguc15l.txt","true","false"
"155","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/suguc20l.txt","force_displacement_data\155_suguc20l.txt","true","false"
"156","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/nosh96n1.txt","force_displacement_data\156_nosh96n1.txt","true","false"
"157","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/shkes1ht.txt","force_displacement_data\157_shkes1ht.txt","true","false"
"158","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/shkas2ht.txt","force_displacement_data\158_shkas2ht.txt","true","false"
"159","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/shkas3ht.txt","force_displacement_data\159_shkas3ht.txt","true","false"
"160","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/shkas4ht.txt","force_displacement_data\160_shkas4ht.txt","true","false"
"161","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/shkas5ht.txt","force_displacement_data\161_shkas5ht.txt","true","false"
"162","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/shkas6ht.txt","force_displacement_data\162_shkas6ht.txt","true","false"
"163","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/shkas7ht.txt","force_displacement_data\163_shkas7ht.txt","true","false"
"164","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/shkes8ht.txt","force_displacement_data\164_shkes8ht.txt","true","false"
"165","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatbg1.txt","force_displacement_data\165_saatbg1.txt","true","false"
"166","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatbg2.txt","force_displacement_data\166_saatbg2.txt","true","false"
"167","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatbg3.txt","force_displacement_data\167_saatbg3.txt","true","false"
"168","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatbg4.txt","force_displacement_data\168_saatbg4.txt","true","false"
"169","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatbg5.txt","force_displacement_data\169_saatbg5.txt","true","false"
"170","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatbg6.txt","force_displacement_data\170_saatbg6.txt","true","false"
"171","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatbg7.txt","force_displacement_data\171_saatbg7.txt","true","false"
"172","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatbg8.txt","force_displacement_data\172_saatbg8.txt","true","false"
"173","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatbg9.txt","force_displacement_data\173_saatbg9.txt","true","false"
"174","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/saatbg10.txt","force_displacement_data\174_saatbg10.txt","true","false"
"175","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mat1005n.txt","force_displacement_data\175_mat1005n.txt","true","false"
"176","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mat1005s.txt","force_displacement_data\176_mat1005s.txt","true","false"
"177","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mat1010n.txt","force_displacement_data\177_mat1010n.txt","true","false"
"178","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mat1010s.txt","force_displacement_data\178_mat1010s.txt","true","false"
"179","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mat1020n.txt","force_displacement_data\179_mat1020n.txt","true","false"
"180","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mat1020s.txt","force_displacement_data\180_mat1020s.txt","true","false"
"181","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mat500n.txt","force_displacement_data\181_mat500n.txt","true","false"
